IP:Port,Loss,Latency
162.159.192.183:4233,0%,165.50
162.159.195.66:2506,0%,165.50
162.159.192.239:988,0%,165.51
162.159.192.193:943,0%,165.51
162.159.195.176:1070,0%,165.52
162.159.192.63:4500,0%,165.54
162.159.192.162:1387,0%,165.54
162.159.192.24:5279,0%,165.55
162.159.195.185:946,0%,165.57
162.159.195.115:7559,0%,165.58
162.159.195.42:955,0%,165.58
162.159.195.174:3476,0%,165.58
162.159.195.156:8886,0%,165.60
162.159.195.116:1701,0%,165.61
162.159.195.4:946,0%,165.61
162.159.192.25:968,0%,165.63
162.159.195.21:864,0%,165.63
162.159.192.61:894,0%,165.64
162.159.192.253:3476,0%,165.64
162.159.192.217:7152,0%,165.64
162.159.192.66:4500,0%,165.65
162.159.195.158:4198,0%,165.65
162.159.195.123:903,0%,165.65
162.159.192.152:1014,0%,165.67
162.159.192.236:1843,0%,165.68
162.159.192.212:8886,0%,165.68
162.159.195.235:4177,0%,165.69
162.159.195.166:7152,0%,165.71
162.159.195.140:7281,0%,165.71
162.159.195.103:3476,0%,165.71
162.159.192.228:1002,0%,165.72
162.159.195.176:4233,0%,165.73
162.159.195.133:988,0%,165.75
162.159.192.72:880,0%,165.75
162.159.192.107:878,0%,165.76
162.159.195.36:1018,0%,165.76
162.159.192.96:8854,0%,165.77
162.159.192.167:7559,0%,165.77
162.159.195.242:1387,0%,165.79
162.159.192.140:928,0%,165.79
162.159.195.98:945,0%,165.80
162.159.195.30:3581,0%,165.83
162.159.192.173:8319,0%,165.83
162.159.195.222:859,0%,165.83
162.159.192.10:5956,0%,165.84
162.159.192.22:859,0%,165.85
162.159.192.199:942,0%,165.85
162.159.192.198:7559,0%,165.85
162.159.195.229:934,0%,165.87
162.159.192.138:3854,0%,165.88
162.159.192.96:7156,0%,165.88
162.159.192.246:890,0%,165.90
162.159.195.209:945,0%,165.91
162.159.192.79:890,0%,165.92
162.159.195.205:5279,0%,165.92
162.159.195.92:943,0%,165.93
162.159.192.209:4198,0%,165.93
162.159.192.246:7152,0%,165.96
162.159.192.153:908,0%,165.97
162.159.192.64:7281,0%,165.97
162.159.195.83:942,0%,165.98
162.159.192.67:987,0%,165.98
162.159.192.210:3854,0%,165.99
162.159.192.76:955,0%,165.99
162.159.192.196:7156,0%,166.01
162.159.195.254:859,0%,166.03
162.159.195.132:3476,0%,166.05
162.159.195.207:1014,0%,166.06
162.159.195.205:894,0%,166.07
162.159.195.197:8742,0%,166.09
162.159.192.94:1843,0%,166.09
162.159.192.247:894,0%,166.09
162.159.192.191:988,0%,166.10
162.159.192.227:8886,0%,166.11
162.159.192.112:946,0%,166.12
162.159.192.184:1843,0%,166.13
162.159.192.103:4177,0%,166.14
162.159.192.109:2506,0%,166.15
162.159.195.230:2371,0%,166.15
162.159.192.7:7559,0%,166.15
162.159.192.52:880,0%,166.22
162.159.192.46:4198,0%,166.23
162.159.192.118:7103,0%,166.23
162.159.192.131:1180,0%,166.25
162.159.192.142:4198,0%,166.27
162.159.192.56:7156,0%,166.27
162.159.195.144:3854,0%,166.27
162.159.192.111:864,0%,166.30
162.159.192.94:1387,0%,166.30
162.159.195.210:3138,0%,166.31
162.159.195.126:8742,0%,166.32
162.159.192.142:955,0%,166.32
